127.0.0.1, 2022-10-26 15:51:25, GET, /admin/default/design/welcome, HTTP/1.1, 200, 0.103981
127.0.0.1, 2022-10-26 15:51:26, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2022-10-26 15:51:28, GET, /admin/default/edit/welcome/models/db.py, HTTP/1.1, 200, 0.035994
127.0.0.1, 2022-10-26 15:51:28, GET, /admin/default/edit/welcome/models/db.py, HTTP/1.1, 200, 0.047994
127.0.0.1, 2022-10-26 15:51:28, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2022-10-26 15:51:28, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.160974
127.0.0.1, 2022-10-26 15:51:28, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.197973
127.0.0.1, 2022-10-26 15:51:28, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.217960
127.0.0.1, 2022-10-26 15:51:28, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.159973
127.0.0.1, 2022-10-26 15:51:29, GET, /welcome/appadmin/hooks, HTTP/1.1, 200, 0.805862
127.0.0.1, 2022-10-26 15:51:32, GET, /admin/default/design/welcome, HTTP/1.1, 200, 0.102982
127.0.0.1, 2022-10-26 15:51:32, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2022-10-26 15:52:35, GET, /admin/default/index, HTTP/1.1, 303, 0.031994
127.0.0.1, 2022-10-26 15:52:36, GET, /admin/default/site, HTTP/1.1, 200, 0.247956
127.0.0.1, 2022-10-26 15:52:36, GET, /favicon.ico, HTTP/1.1, 400, 0.001999
127.0.0.1, 2022-10-26 15:52:51, POST, /admin/default/site, HTTP/1.1, 303, 0.244958
127.0.0.1, 2022-10-26 15:52:51, GET, /admin/default/design/projeto_teste, HTTP/1.1, 200, 0.626892
127.0.0.1, 2022-10-26 15:52:52, GET, /favicon.ico, HTTP/1.1, 400, 0.001001
127.0.0.1, 2022-10-26 15:53:00, GET, /projeto_teste/appadmin/d3_graph_model, HTTP/1.1, 200, 0.583899
127.0.0.1, 2022-10-26 15:53:00, GET, /projeto_teste/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.007998
127.0.0.1, 2022-10-26 15:53:00, GET, /projeto_teste/static/css/calendar.css, HTTP/1.1, 200, 0.002999
127.0.0.1, 2022-10-26 15:53:00, GET, /projeto_teste/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.063988
127.0.0.1, 2022-10-26 15:53:01, GET, /projeto_teste/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.046992
127.0.0.1, 2022-10-26 15:53:01, GET, /admin/static/css/d3_graph.css, HTTP/1.1, 200, 0.081986
127.0.0.1, 2022-10-26 15:53:01, GET, /projeto_teste/static/js/jquery.js, HTTP/1.1, 200, 0.109982
127.0.0.1, 2022-10-26 15:53:01, GET, /projeto_teste/static/js/calendar.js, HTTP/1.1, 200, 0.069988
127.0.0.1, 2022-10-26 15:53:01, GET, /projeto_teste/static/js/web2py.js, HTTP/1.1, 200, 0.070987
127.0.0.1, 2022-10-26 15:53:01, GET, /projeto_teste/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2022-10-26 15:53:01, GET, /admin/static/js/d3_graph.js, HTTP/1.1, 200, 0.099982
127.0.0.1, 2022-10-26 15:53:01, GET, /projeto_teste/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.091985
127.0.0.1, 2022-10-26 15:53:01, GET, /admin/static/js/d3.min.js, HTTP/1.1, 200, 0.162972
127.0.0.1, 2022-10-26 15:53:01, GET, /projeto_teste/static/images/favicon.ico, HTTP/1.1, 200, 0.006998
127.0.0.1, 2022-10-26 15:53:06, GET, /admin/default/design/projeto_teste, HTTP/1.1, 200, 0.106982
127.0.0.1, 2022-10-26 15:53:06, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2022-10-26 15:53:08, GET, /projeto_teste/default/index, HTTP/1.1, 200, 0.173969
127.0.0.1, 2022-10-26 15:53:08, GET, /projeto_teste/static/images/background.jpg, HTTP/1.1, 404, 0.003000
127.0.0.1, 2022-10-26 15:53:13, GET, /projeto_teste, HTTP/1.1, 200, 0.170970
127.0.0.1, 2022-10-26 15:53:14, GET, /projeto_teste/static/images/background.jpg, HTTP/1.1, 404, 0.004000
